[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],ua variable [ m^3 s^-1 ]
1.74371041e-02, 7.23165927e-09
1.74371041e-02, 2.28389681e-08
1.55377733e-02, 8.95340868e-09
1.55377733e-02, 2.83220007e-08
1.90198813e-02, 2.95142559e-08
2.03388613e-02, 2.38679903e-08
1.74371041e-02, 3.66706665e-08
1.55377733e-02, 4.54102924e-08
1.90198813e-02, 4.50601831e-08
2.03388613e-02, 3.65311301e-08
1.74371041e-02, 5.57921105e-08
1.55377733e-02, 6.88509019e-08
1.90198813e-02, 6.64300828e-08
2.03388613e-02, 5.40721068e-08
1.74371041e-02, 8.18768271e-08
1.55377733e-02, 1.00584124e-07
1.90198813e-02, 9.54034931e-08
2.03388613e-02, 7.80217135e-08
1.74371041e-02, 1.16980495e-07
1.55377733e-02, 1.42983168e-07
1.90198813e-02, 1.34050666e-07
2.03388613e-02, 1.10173751e-07
1.74371041e-02, 1.63501511e-07
1.55377733e-02, 1.98840539e-07
1.90198813e-02, 1.85574521e-07
2.03388613e-02, 1.53246503e-07
1.74371041e-02, 2.25240186e-07
1.55377733e-02, 2.72700277e-07
1.90198813e-02, 2.54416079e-07
2.03388613e-02, 2.10922494e-07
1.74371041e-02, 3.07578375e-07
1.55377733e-02, 3.71156318e-07
1.90198813e-02, 3.48905218e-07
2.03388613e-02, 2.90004436e-07
1.74371041e-02, 4.20746574e-07
1.55377733e-02, 5.06913352e-07
1.90198813e-02, 4.39978294e-07
2.03388613e-02, 3.66023187e-07
1.74371041e-02, 5.30128489e-07
1.55377733e-02, 6.38898200e-07
1.90198813e-02, 4.65842334e-07
2.03388613e-02, 3.87446988e-07
1.74371041e-02, 5.61365823e-07
1.55377733e-02, 6.77260005e-07
1.90198813e-02, 4.40720726e-07
2.03388613e-02, 3.66558680e-07
1.74371041e-02, 5.30903321e-07
1.55377733e-02, 6.40444682e-07
1.90198813e-02, 4.09892863e-07
2.03388613e-02, 3.41165048e-07
1.74371041e-02, 4.93161224e-07
1.55377733e-02, 5.94029700e-07
1.90198813e-02, 3.74056071e-07
2.03388613e-02, 3.11662404e-07
1.74371041e-02, 4.49377012e-07
1.55377733e-02, 5.40288568e-07
1.90198813e-02, 3.35562959e-07
2.03388613e-02, 2.79828896e-07
1.74371041e-02, 4.02659651e-07
1.55377733e-02, 4.83419171e-07
1.90198813e-02, 2.97211983e-07
2.03388613e-02, 2.47972480e-07
1.74371041e-02, 3.56380752e-07
1.55377733e-02, 4.27470013e-07
